gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
731834566	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441448173539SvnOUGNrusNM0CjS										http://creativecommons.org/licenses/by/4.0/	
731808561	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14414482075094wLUgjERawJdJeKy										http://creativecommons.org/licenses/by/4.0/	
731808560	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441448207491oDsw4qaLnRw2LnDv										http://creativecommons.org/licenses/by/4.0/	
731808556	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441448207384ODmODm1STVg5cvB2										http://creativecommons.org/licenses/by/4.0/	
731808552	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441448207284nyWwphe5EF4lmScn										http://creativecommons.org/licenses/by/4.0/	
731808542	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441448175952Wggbu5eAgOH87c08										http://creativecommons.org/licenses/by/4.0/	
731808423	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441448173614Lso0uCRmblONxen2										http://creativecommons.org/licenses/by/4.0/	
731803556	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14414491700613PMGTQCfzX1Keiej										http://creativecommons.org/licenses/by/4.0/	
731803549	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441449169802jWWogGfonPQrItqa										http://creativecommons.org/licenses/by/4.0/	
731803547	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441449169706DwIxk7qFSD9sGJ1G										http://creativecommons.org/licenses/by/4.0/	
731803546	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441449169677LRpUP1tQld8bz2BL										http://creativecommons.org/licenses/by/4.0/	
731796940	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14414476391539AH5k5gn38nfqlnc										http://creativecommons.org/licenses/by/4.0/	
731796939	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441447638949Cw5QL2HcF2p8CryU										http://creativecommons.org/licenses/by/4.0/	
731795843	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441447826766ySaWnyRZHseboUks										http://creativecommons.org/licenses/by/4.0/	
731575849	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441448361788HavZEV3UFjJay3e1										http://creativecommons.org/licenses/by/4.0/	
731407182	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441448361174lFilOuC4QKtjyxnL										http://creativecommons.org/licenses/by/4.0/	
731323469	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441448195507WHtuwOGRa5Pv0XKh										http://creativecommons.org/licenses/by/4.0/	
731322890	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441448346876QOBlNtYVDSCSN0Pd										http://creativecommons.org/licenses/by/4.0/	
731003729	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441448872955WwBXfy3SZwYBoy2E										http://creativecommons.org/licenses/by/4.0/	
730994066	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14414478077052qJXmdhySnOX3Hbu										http://creativecommons.org/licenses/by/4.0/	
730994064	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441447807723FXBFh64vs0StlIB2										http://creativecommons.org/licenses/by/4.0/	
730994062	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441447807760itjvYvfZWn7ry61v										http://creativecommons.org/licenses/by/4.0/	
