"year","month","day","habitat","stateProvince","locality","decimalLatitude","decimalLongitude","genus","subgenus","specificEpithet","elevation","interest"
1840,NA,NA,"","Chiapas","Hacienda de Juncaná",16.116667,-91.916667,"Quercus",NA,"",NA,"no"
1988,5,21,"","Chiapas","",17.13845,-93.15239,"Quercus",NA,"peduncularis",NA,"no"
1988,5,21,"","Chiapas","",17.13047,-93.15918,"Quercus",NA,"segoviensis",NA,"no"
1984,11,5,"","Chiapas","",16.51639,-91.90424,"Quercus",NA,"sapotifolia",NA,"no"
1988,5,24,"","Chiapas","",16.1203,-92.0407,"Quercus",NA,"sapotifolia",NA,"no"
1962,6,25,"","Chiapas","",16.73704,-92.63762,"Quercus",NA,"crassipes",NA,"no"
1988,5,21,"","Chiapas","",17.16333,-93.1469,"Quercus",NA,"laurina",NA,"no"
1988,5,31,"","Chiapas","",15.55756,-92.32331,"Quercus",NA,"insignis",NA,"insignis"
1988,5,9,"","Chiapas","",15.86999,-92.72262,"Quercus",NA,"",NA,"no"
1866,9,2,"","Chiapas","",16.72601,-93.11746,"Quercus",NA,"candicans",NA,"no"
1988,5,21,"","Chiapas","",17.15523,-93.1463,"Quercus",NA,"benthamii",NA,"no"
1988,5,31,"","Chiapas","",17.80583,-92.09972,"Quercus",NA,"benthamii",NA,"no"
NA,NA,NA,"","Chiapas","Along trail to E from high point on road between Finca Liquidambar and Nueva",15.66667,-92.73333,"Quercus",NA,"cortesii",2500,"no"
1995,9,NA,"","Chiapas","Km 33.9 de la carr. Escopetazo-Bochil",16.97222,-92.91389,"Quercus",NA,"polymorpha",1600,"no"
1994,7,NA,"","Chiapas","Domingo Chanona a Ocoz. 3 km del Lim Ocoz.-Villa Flores",16.50083,-93.45611,"Quercus",NA,"conspersa",1050,"no"
1995,10,NA,"","Chiapas","Km 20 de la carr. Comitan-Soyatitan",16.29167,-92.22056,"Quercus",NA,"conspersa",1900,"no"
1990,2,NA,"","Chiapas","Road from El Rosario to Cerro Boqueron, 2 km South of Ojo de Agua",15.28333,-92.35,"Quercus",NA,"vicentensis",1750,"no"
1990,2,NA,"","Chiapas","Road from El Rosario to Cerro Boqueron, 2 km South of Ojo de Agua",15.28333,-92.35,"Quercus",NA,"sapotifolia",1750,"no"
1995,5,NA,"","Chiapas","Nahotic, 1.7 km al Suroriente de Chilil",16.80139,-92.53028,"Quercus",NA,"rugosa",2275,"no"
1995,3,NA,"","Chiapas","3.2 km al S de Col. Juncana",16.115,-91.91667,"Quercus",NA,"polymorpha",1700,"no"
1987,5,31,"","Chiapas","Just East of Motozintla",15.33333,-92.2,"Quercus",NA,"conspersa",1600,"no"
2022,12,7,"","Chiapas","",16.683319,-92.593302,"Quercus",NA,"rugosa",NA,"no"
2022,11,8,"","Chiapas","",16.714745,-92.658231,"Quercus",NA,"acatenangensis",NA,"no"
2022,11,10,"","Chiapas","",16.70636,-92.619375,"Quercus",NA,"dysophylla",NA,"no"
2022,11,8,"","Chiapas","",16.716225,-92.659261,"Quercus",NA,"acatenangensis",NA,"no"
2022,11,2,"","Chiapas","",16.807489,-92.845035,"Quercus",NA,"sapotifolia",NA,"no"
2022,11,2,"","Chiapas","",16.806676,-92.847095,"Quercus",NA,"polymorpha",NA,"no"
2022,11,4,"","Chiapas","",16.724165,-92.69672,"Quercus",NA,"dysophylla",NA,"no"
2022,10,24,"","Chiapas","",16.735281,-92.620708,"Quercus",NA,"rugosa",NA,"no"
2022,10,20,"","Chiapas","",16.827871,-93.107031,"Quercus",NA,"sebifera",NA,"no"
2022,10,12,"","Chiapas","",16.706906,-92.615704,"Quercus",NA,"dysophylla",NA,"no"
2022,9,22,"","Chiapas","",16.264811,-93.620903,"Quercus",NA,"segoviensis",NA,"no"
2022,10,2,"","Chiapas","",16.731842,-92.661212,"Quercus",NA,"crassifolia",NA,"no"
2022,10,2,"","Chiapas","",16.731645,-92.661695,"Quercus",NA,"crassifolia",NA,"no"
2021,5,29,"","Chiapas","",16.381533,-93.216832,"Quercus",NA,"peduncularis",NA,"no"
2022,9,5,"","Chiapas","",16.238333,-92.151667,"Quercus",NA,"segoviensis",NA,"no"
2022,8,29,"","Chiapas","",16.775794,-92.500997,"Quercus",NA,"calophylla",NA,"no"
2022,8,29,"","Chiapas","",16.68488,-92.485089,"Quercus",NA,"insignis",NA,"insignis"
2022,8,21,"","Chiapas","",16.737036,-92.637619,"Quercus",NA,"seemannii",NA,"no"
2022,8,21,"","Chiapas","",16.737036,-92.637619,"Quercus",NA,"crassifolia",NA,"no"
2022,8,16,"","Chiapas","",16.70641,-92.615771,"Quercus",NA,"dysophylla",NA,"no"
2022,5,26,"","Chiapas","",16.833602,-92.680288,"Quercus",NA,"crassifolia",NA,"no"
2022,5,26,"","Chiapas","",16.833602,-92.680288,"Quercus",NA,"calophylla",NA,"no"
2022,5,28,"","Chiapas","",16.737036,-92.637619,"Quercus",NA,"sebifera",NA,"no"
2022,5,26,"","Chiapas","",16.833602,-92.680288,"Quercus",NA,"dysophylla",NA,"no"
2022,5,26,"","Chiapas","",16.833602,-92.680288,"Quercus",NA,"ocoteifolia",NA,"no"
2022,5,17,"","Chiapas","",16.487581,-92.558126,"Quercus",NA,"sebifera",NA,"no"
2022,5,17,"","Chiapas","",16.486429,-92.55943,"Quercus",NA,"crispipilis",NA,"no"
2009,11,24,"","Chiapas","",16.36449,-92.095151,"Quercus",NA,"segoviensis",NA,"no"
2022,5,14,"","Chiapas","",16.720088,-92.660135,"Quercus",NA,"castanea",NA,"no"
2022,5,15,"","Chiapas","",16.720088,-92.660135,"Quercus",NA,"rugosa",NA,"no"
2022,5,14,"","Chiapas","",16.720088,-92.660135,"Quercus",NA,"crispipilis",NA,"no"
2022,5,15,"","Chiapas","",16.720088,-92.660135,"Quercus",NA,"crassifolia",NA,"no"
2022,4,30,"","Chiapas","",16.733486,-92.604202,"Quercus",NA,"segoviensis",NA,"no"
