"year","month","day","habitat","stateProvince","locality","decimalLatitude","decimalLongitude","scientificName","genus","subgenus","specificEpithet","elevation"
2013,6,28,"","Oaxaca","",17.917166,-97.418282,"Quercus castanea Née","Quercus",NA,"castanea",NA
1841,5,NA,"","Oaxaca","Sierra de San Felipe",17.15,-96.683333,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",NA
1895,12,10,"","Oaxaca","",16.85028,-95.71,"Quercus glabrescens Benth.","Quercus",NA,"glabrescens",NA
1895,12,10,"","Oaxaca","",16.84018,-96.4543,"Quercus glabrescens Benth.","Quercus",NA,"glabrescens",NA
1842,5,1,"","Oaxaca","",17.09283,-96.74484,"Quercus glabrescens Benth.","Quercus",NA,"glabrescens",NA
1842,1,1,"","Oaxaca","",17.19889,-95.99361,"Quercus affinis M.Martens & Galeotti","Quercus",NA,"affinis",NA
NA,NA,NA,"","Oaxaca","",17.23458,-96.42652,"Quercus castanea Née","Quercus",NA,"castanea",NA
1934,6,23,"","Oaxaca","",18.0025,-96.43667,"Quercus castanea Née","Quercus",NA,"castanea",NA
1968,8,4,"","Oaxaca","",17.80869,-97.47109,"Quercus castanea Née","Quercus",NA,"castanea",NA
1842,1,1,"","Oaxaca","",17.19888,-95.9936,"Quercus affinis M.Martens & Galeotti","Quercus",NA,"affinis",NA
1842,1,1,"","Oaxaca","",15.81069,-95.9562,"Quercus affinis M.Martens & Galeotti","Quercus",NA,"affinis",NA
1894,9,24,"","Oaxaca","",16.85028,-95.71,"Quercus laurina Liebm. ex A.DC.","Quercus",NA,"laurina",NA
1989,7,14,"","Oaxaca","",16.57386,-94.81613,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
1989,7,14,"","Oaxaca","",16.33178,-96.59436,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
1966,7,23,"","Oaxaca","",21.0317,-98.28686,"Quercus oleoides Schltdl. & Cham.","Quercus",NA,"oleoides",NA
1842,1,1,"","Oaxaca","",15.83401,-96.31995,"Quercus sapotifolia Liebm.","Quercus",NA,"sapotifolia",NA
1842,1,1,"","Oaxaca","",15.83401,-96.31995,"Quercus sapotifolia Liebm.","Quercus",NA,"sapotifolia",NA
1984,10,25,"","Oaxaca","",16.03769,-97.06696,"Quercus L.","Quercus",NA,"",NA
NA,NA,NA,"","Oaxaca","",17.35639,-96.37889,"Quercus laurina Bonpl.","Quercus",NA,"laurina",NA
1894,9,24,"","Oaxaca","",16.85028,-95.71,"Quercus laurina Bonpl.","Quercus",NA,"laurina",NA
