"year","month","day","habitat","stateProvince","locality","decimalLatitude","decimalLongitude","scientificName","genus","subgenus","specificEpithet","elevation"
2013,6,28,"","Oaxaca","",17.917166,-97.418282,"Quercus castanea Née","Quercus",NA,"castanea",NA
1840,NA,NA,"","Chiapas","Hacienda de Juncaná",16.116667,-91.916667,"Quercus L.","Quercus",NA,"",NA
1841,5,NA,"","Oaxaca","Sierra de San Felipe",17.15,-96.683333,"Quercus crassifolia Bonpl.","Quercus",NA,"crassifolia",NA
1895,12,10,"","Oaxaca","",16.85028,-95.71,"Quercus glabrescens Benth.","Quercus",NA,"glabrescens",NA
1895,12,10,"","Oaxaca","",16.84018,-96.4543,"Quercus glabrescens Benth.","Quercus",NA,"glabrescens",NA
1842,5,1,"","Oaxaca","",17.09283,-96.74484,"Quercus glabrescens Benth.","Quercus",NA,"glabrescens",NA
1988,5,21,"","Chiapas","",17.13845,-93.15239,"Quercus peduncularis Née","Quercus",NA,"peduncularis",NA
1842,1,1,"","Oaxaca","",17.19889,-95.99361,"Quercus affinis M.Martens & Galeotti","Quercus",NA,"affinis",NA
NA,NA,NA,"","Oaxaca","",17.23458,-96.42652,"Quercus castanea Née","Quercus",NA,"castanea",NA
1934,6,23,"","Oaxaca","",18.0025,-96.43667,"Quercus castanea Née","Quercus",NA,"castanea",NA
1968,8,4,"","Oaxaca","",17.80869,-97.47109,"Quercus castanea Née","Quercus",NA,"castanea",NA
1842,1,1,"","Oaxaca","",17.19888,-95.9936,"Quercus affinis M.Martens & Galeotti","Quercus",NA,"affinis",NA
1842,1,1,"","Oaxaca","",15.81069,-95.9562,"Quercus affinis M.Martens & Galeotti","Quercus",NA,"affinis",NA
1894,9,24,"","Oaxaca","",16.85028,-95.71,"Quercus laurina Liebm. ex A.DC.","Quercus",NA,"laurina",NA
1989,7,14,"","Oaxaca","",16.57386,-94.81613,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
1989,7,14,"","Oaxaca","",16.33178,-96.59436,"Quercus rugosa Née","Quercus",NA,"rugosa",NA
1988,5,21,"","Chiapas","",17.13047,-93.15918,"Quercus segoviensis Liebm.","Quercus",NA,"segoviensis",NA
1966,7,23,"","Oaxaca","",21.0317,-98.28686,"Quercus oleoides Schltdl. & Cham.","Quercus",NA,"oleoides",NA
1842,1,1,"","Oaxaca","",15.83401,-96.31995,"Quercus sapotifolia Liebm.","Quercus",NA,"sapotifolia",NA
1842,1,1,"","Oaxaca","",15.83401,-96.31995,"Quercus sapotifolia Liebm.","Quercus",NA,"sapotifolia",NA
1984,11,5,"","Chiapas","",16.51639,-91.90424,"Quercus sapotifolia Liebm.","Quercus",NA,"sapotifolia",NA
1988,5,24,"","Chiapas","",16.1203,-92.0407,"Quercus sapotifolia Liebm.","Quercus",NA,"sapotifolia",NA
1962,6,25,"","Chiapas","",16.73704,-92.63762,"Quercus crassipes Bonpl.","Quercus",NA,"crassipes",NA
1984,10,25,"","Oaxaca","",16.03769,-97.06696,"Quercus L.","Quercus",NA,"",NA
NA,NA,NA,"","Oaxaca","",17.35639,-96.37889,"Quercus laurina Bonpl.","Quercus",NA,"laurina",NA
1894,9,24,"","Oaxaca","",16.85028,-95.71,"Quercus laurina Bonpl.","Quercus",NA,"laurina",NA
NA,NA,NA,"","Oaxaca","",17.338,-96.395,"Quercus laurina Bonpl.","Quercus",NA,"laurina",NA
1988,5,21,"","Chiapas","",17.16333,-93.1469,"Quercus laurina Bonpl.","Quercus",NA,"laurina",NA
NA,NA,NA,"","Oaxaca","",16.5055,-97.16194,"Quercus laurina Bonpl.","Quercus",NA,"laurina",NA
1988,7,13,"","Oaxaca","",16.1705,-96.50194,"Quercus laurina M.Martens & Galeotti","Quercus",NA,"laurina",NA
1988,7,13,"","Oaxaca","",16.1705,-96.50194,"Quercus laurina M.Martens & Galeotti","Quercus",NA,"laurina",NA
1989,7,12,"","Oaxaca","",16.16984,-96.50253,"Quercus laurina M.Martens & Galeotti","Quercus",NA,"laurina",NA
1988,7,13,"","Oaxaca","",16.1705,-96.50194,"Quercus laurina M.Martens & Galeotti","Quercus",NA,"laurina",NA
1988,5,31,"","Chiapas","",15.55756,-92.32331,"Quercus insignis M.Martens & Galeotti","Quercus",NA,"insignis",NA
1840,11,1,"","Oaxaca","",18.85047,-97.10364,"Quercus insignis M.Martens & Galeotti","Quercus",NA,"insignis",NA
1988,5,9,"","Chiapas","",15.86999,-92.72262,"Quercus L.","Quercus",NA,"",NA
1845,1,1,"","Oaxaca","",17.36287,-96.24689,"Quercus candicans Née","Quercus",NA,"candicans",NA
1842,1,1,"","Oaxaca","",17.05942,-96.72162,"Quercus candicans Née","Quercus",NA,"candicans",NA
1840,11,1,"","Oaxaca","",17.80427,-96.3089,"Quercus candicans Née","Quercus",NA,"candicans",NA
